212;195;10;30/03/2012;30/05/2012;;;;;"1";TRUE;FALSE;FALSE;
213;195;1;30/09/2012;30/03/2014;;;;30/05/2014;"3";TRUE;FALSE;FALSE;
223;30;4;30/06/2012;30/11/2012;;;;15/12/2013;"2";TRUE;FALSE;FALSE;
224;30;5;05/05/2009;30/09/2011;;05/05/2009;30/09/2011;;"3";TRUE;FALSE;FALSE;
225;32;4;30/07/2009;30/09/2010;;30/07/2009;30/09/2010;;"2";TRUE;FALSE;FALSE;
226;32;5;30/05/2009;30/09/2011;;30/05/2009;30/09/2011;;"3";TRUE;FALSE;FALSE;
227;33;4;30/08/2009;30/04/2011;;30/08/2009;30/04/2011;;"1";TRUE;FALSE;FALSE;
228;9;4;30/04/2012;30/12/2013;;;;31/03/2014;"2";TRUE;FALSE;FALSE;
229;200;3;30/04/2010;30/08/2010;30/05/2010;30/05/2010;30/07/2011;30/07/2011;"1";TRUE;FALSE;FALSE;
230;200;2;30/07/2010;30/01/2013;30/05/2010;30/05/2010;;30/06/2014;"2";TRUE;FALSE;FALSE;
231;200;1;30/01/2011;30/06/2013;30/03/2012;30/03/2012;;16/08/2014;"3";TRUE;FALSE;FALSE;
232;18;4;30/11/2011;30/04/2012;;30/11/2011;30/04/2012;;"2";TRUE;FALSE;FALSE;
233;18;5;30/04/2011;30/06/2011;;30/04/2011;30/06/2011;;"3";TRUE;FALSE;FALSE;
234;201;3;30/09/2009;30/04/2010;;30/09/2009;30/07/2011;30/07/2011;"1";TRUE;FALSE;FALSE;
235;201;2;30/07/2010;30/06/2012;;30/07/2010;;30/11/2014;"2";TRUE;FALSE;FALSE;
236;201;1;30/01/2011;30/12/2012;30/01/2012;30/01/2012;;31/12/2015;"3";TRUE;FALSE;FALSE;
240;11;3;30/01/2007;30/07/2007;;30/01/2007;30/07/2007;;"1";TRUE;FALSE;FALSE;
241;205;3;30/04/2010;30/12/2010;30/06/2010;30/06/2010;22/07/2011;30/03/2012;"1";TRUE;FALSE;FALSE;
242;205;2;30/06/2011;30/06/2012;30/09/2011;30/09/2011;;30/05/2014;"2";TRUE;FALSE;FALSE;
243;205;1;30/04/2011;30/04/2013;30/11/2011;31/10/2011;;30/08/2014;"3";TRUE;FALSE;FALSE;
244;206;3;30/10/2009;30/01/2010;20/07/2009;20/07/2009;31/07/2011;31/07/2011;"1";TRUE;FALSE;FALSE;
245;206;1;30/04/2010;30/10/2012;31/12/2011;31/12/2011;;30/09/2014;"2";TRUE;FALSE;FALSE;
246;207;3;30/06/2009;30/12/2009;30/07/2010;30/07/2010;24/05/2011;01/08/2011;"1";TRUE;FALSE;FALSE;
247;207;2;30/03/2012;30/11/2012;;30/09/2011;;30/08/2014;"2";TRUE;FALSE;FALSE;
248;207;1;30/10/2010;30/05/2013;30/12/2011;30/12/2011;;31/01/2016;"3";TRUE;FALSE;FALSE;
249;208;3;30/03/2007;30/12/2008;30/03/2007;30/03/2007;30/09/2007;30/09/2007;"2";TRUE;FALSE;FALSE;
250;208;4;30/05/2009;30/12/2011;30/12/2009;30/12/2009;30/08/2011;30/08/2011;"1";TRUE;FALSE;FALSE;
251;208;2;28/02/2010;30/12/2012;;31/05/2010;;15/11/2013;"4";TRUE;FALSE;FALSE;
252;208;1;22/09/2013;22/09/2013;30/04/2011;30/04/2011;;30/04/2014;"3";TRUE;FALSE;FALSE;
253;209;3;30/04/2010;30/09/2010;;30/04/2010;15/06/2011;31/12/2011;"1";TRUE;FALSE;FALSE;
254;209;2;30/09/2011;30/11/2012;;30/09/2011;31/07/2013;31/01/2013;"2";TRUE;FALSE;FALSE;
255;209;1;30/01/2011;30/07/2012;30/12/2011;30/12/2011;;10/06/2014;"3";TRUE;FALSE;FALSE;
257;42;3;30/05/2011;30/08/2011;;30/05/2011;30/08/2011;;"1";TRUE;FALSE;FALSE;
258;40;4;30/06/2012;28/02/2013;;;25/08/2013;;"2";TRUE;FALSE;FALSE;
260;210;3;30/09/2009;30/04/2010;;30/09/2009;30/07/2011;30/07/2011;"1";TRUE;FALSE;FALSE;
261;210;2;30/09/2010;30/08/2012;;30/09/2010;;31/10/2014;"2";TRUE;FALSE;FALSE;
262;210;1;30/01/2011;30/12/2012;30/01/2012;29/02/2012;;30/06/2015;"3";TRUE;FALSE;FALSE;
263;212;3;30/09/2009;30/04/2010;;30/09/2009;30/07/2011;30/07/2011;"1";TRUE;FALSE;FALSE;
264;212;2;30/10/2010;30/12/2011;;30/10/2010;;31/10/2014;"2";TRUE;FALSE;FALSE;
265;212;1;30/01/2011;30/12/2012;30/01/2012;30/01/2012;;30/11/2014;"3";TRUE;FALSE;FALSE;
266;213;3;30/09/2009;30/04/2010;;30/09/2009;30/07/2011;30/07/2011;"1";TRUE;FALSE;FALSE;
267;213;2;30/01/2011;30/06/2012;;30/01/2011;;31/07/2014;"2";TRUE;FALSE;FALSE;
268;213;1;30/01/2011;30/12/2012;30/01/2012;30/01/2012;;30/11/2014;"3";TRUE;FALSE;FALSE;
272;214;3;30/04/2010;30/09/2010;30/09/2010;30/09/2010;30/04/2011;30/04/2011;"3";TRUE;FALSE;FALSE;
273;214;2;30/07/2010;30/06/2011;29/02/2012;29/02/2012;;31/08/2014;"1";TRUE;FALSE;FALSE;
274;214;1;30/03/2011;30/12/2012;30/07/2012;30/06/2012;;21/12/2014;"2";TRUE;FALSE;FALSE;
278;216;2;30/04/2010;31/07/2011;31/05/2010;31/05/2010;;28/02/2013;"1";TRUE;FALSE;FALSE;
279;216;1;30/06/2012;31/03/2014;31/01/2013;;;30/04/2014;"2";TRUE;FALSE;FALSE;
280;217;3;30/03/2010;30/06/2012;;30/03/2010;31/10/2013;30/09/2012;"1";TRUE;FALSE;FALSE;
281;217;2;30/03/2012;30/12/2012;;30/03/2012;;28/02/2014;"3";TRUE;FALSE;FALSE;
282;217;1;30/04/2012;30/12/2013;;30/04/2012;;31/05/2014;"4";TRUE;FALSE;FALSE;
283;218;3;30/10/2006;30/10/2009;;30/10/2006;30/10/2009;;"1";TRUE;FALSE;FALSE;
